詞	詞頻	注音	分類	作品名稱
宮內一穗	11	ㄍㄨㄥ ㄋㄟˋ ㄧ ㄙㄨㄟˋ	動漫	悠悠哉哉少女日和
宮內蓮華	19	ㄍㄨㄥ ㄋㄟˋ ㄌㄧㄢˊ ㄏㄨㄚˊ	動漫	悠悠哉哉少女日和
宮園薰	19	ㄍㄨㄥ ㄩㄢˊ ㄒㄩㄣ	動漫	四月是你的謊言
宮城良田	17	ㄍㄨㄥ ㄔㄥˊ ㄌㄧㄤˊ ㄊㄧㄢˊ	動漫	灌籃高手
宮姐	11	ㄍㄨㄥ ㄐㄧㄝˇ	動漫	天使降臨到我身邊
宮尾音夢	11	ㄍㄨㄥ ㄨㄟˇ ㄧㄣ ㄇㄥˋ	動漫	WITCH WATCH魔女守護者
宮村伊澄	17	ㄍㄨㄥ ㄘㄨㄣ ㄧ ㄔㄥˊ	動漫	堀與宮村
宮森葵	19	ㄍㄨㄥ ㄙㄣ ㄎㄨㄟˊ	動漫	白箱
宮水三葉	22	ㄍㄨㄥ ㄕㄨㄟˇ ㄙㄢ ㄧㄝˋ	動漫	你的名字
宮水四葉	19	ㄍㄨㄥ ㄕㄨㄟˇ ㄙˋ ㄧㄝˋ	動漫	你的名字
宮澤謙吾	11	ㄍㄨㄥ ㄗㄜˊ ㄑㄧㄢ ㄨˊ	動漫	Little Busters!
宮田一郎	14	ㄍㄨㄥ ㄊㄧㄢˊ ㄧ ㄌㄤˊ	動漫	第一神拳
家庭教師	22	ㄐㄧㄚ ㄊㄧㄥˊ ㄐㄧㄠˋ ㄕ	動漫	家庭教師HITMAN REBORN!
家族	482	ㄐㄧㄚ ㄗㄨˊ	動漫	CLANNAD
宿海仁太	22	ㄙㄨˋ ㄏㄞˇ ㄖㄣˊ ㄊㄞˋ	動漫	未聞花名
寄生獸	23	ㄐㄧˋ ㄕㄥ ㄕㄡˋ	動漫	寄生獸
富岡義勇	15	ㄈㄨˋ ㄍㄤ ㄧˋ ㄩㄥˇ	動漫	鬼滅之刃
富樫勇太	20	ㄈㄨˋ ㄐㄧㄢ ㄩㄥˇ ㄊㄞˋ	動漫	中二病也想談戀愛
寒蟬鳴泣	22	ㄏㄢˊ ㄔㄢˊ ㄇㄧㄥˊ ㄑㄧˋ	動漫	寒蟬鳴泣之時
實玖瑠	15	ㄕˊ ㄐㄧㄡˇ ㄌㄧㄡˊ	動漫	涼宮春日的憂鬱
實莉	11	ㄕˊ ㄌㄧˋ	動漫	記錄的地平線
寶可夢	18	ㄅㄠˇ ㄎㄜˇ ㄇㄥˋ	動漫	寶可夢
寶多六花	15	ㄅㄠˇ ㄉㄨㄛ ㄌㄧㄡˋ ㄏㄨㄚ	動漫	SSSS.GRIDMAN
寶月夜宵	15	ㄅㄠˇ ㄩㄝˋ ㄧㄝˋ ㄒㄧㄠ	動漫	黑暗集會
寶月詠子	14	ㄅㄠˇ ㄩㄝˋ ㄩㄥˇ ㄗ˙	動漫	黑暗集會
寺島伸夫	14	ㄙˋ ㄉㄠˇ ㄕㄣ ㄈㄨ	動漫	NANA
封印解除	14	ㄈㄥ ㄧㄣˋ ㄐㄧㄝˇ ㄔㄨˊ	動漫	庫洛魔法使
將棋	13	ㄐㄧㄤ ㄑㄧˊ	動漫	3月的獅子
尋求	23	ㄒㄩㄣˊ ㄑㄧㄡˊ	動漫	在地下城尋求邂逅是否搞錯了什麼
小丸	17	ㄒㄧㄠˇ ㄨㄢˊ	動漫	天國大魔境
小傑	24	ㄒㄧㄠˇ ㄐㄧㄝˊ	動漫	獵人
小剛	17	ㄒㄧㄠˇ ㄍㄤ	動漫	寶可夢
小原鞠莉	8	ㄒㄧㄠˇ ㄩㄢˊ ㄐㄩˊ ㄌㄧˋ	動漫	Love Live! Sunshine!!
小圓	26	ㄒㄧㄠˇ ㄩㄢˊ	動漫	魔法少女小圓
小夏	14	ㄒㄧㄠˇ ㄒㄧㄚˋ	動漫	昭和元祿落語心中
小夫	15	ㄒㄧㄠˇ ㄈㄨ	動漫	哆啦A夢
小川杠	17	ㄒㄧㄠˇ ㄔㄨㄢ ㄍㄤ	動漫	Dr.STONE新石紀
小戶川	21	ㄒㄧㄠˇ ㄏㄨˋ ㄔㄨㄢ	動漫	奇巧計程車
小智	25	ㄒㄧㄠˇ ㄓˋ	動漫	寶可夢
小書痴	21	ㄒㄧㄠˇ ㄕㄨ ㄔ	動漫	小書痴的下剋上
小杉權藏	12	ㄒㄧㄠˇ ㄕㄢ ㄑㄩㄢˊ ㄗㄤˋ	動漫	殭屍100～在成為殭屍前要做的100件事～
小松奈奈	18	ㄒㄧㄠˇ ㄙㄨㄥ ㄋㄞˋ ㄋㄞˋ	動漫	NANA
小林千尋	15	ㄒㄧㄠˇ ㄌㄧㄣˊ ㄑㄧㄢ ㄒㄩㄣˊ	動漫	我內心的糟糕念頭
小林龍膽	12	ㄒㄧㄠˇ ㄌㄧㄣˊ ㄌㄨㄥˊ ㄉㄢˇ	動漫	食戟之靈
小柳花子	15	ㄒㄧㄠˇ ㄌㄧㄡˇ ㄏㄨㄚ ㄗˇ	動漫	宅男腐女戀愛真難
小桑	20	ㄒㄧㄠˇ ㄙㄤ	動漫	魔法公主
小次郎	13	ㄒㄧㄠˇ ㄘˋ ㄌㄤˊ	動漫	寶可夢
小泉花陽	9	ㄒㄧㄠˇ ㄑㄩㄢˊ ㄏㄨㄚ ㄧㄤˊ	動漫	Love Live!
小泉讓二	15	ㄒㄧㄠˇ ㄑㄩㄢˊ ㄖㄤˋ ㄦˋ	動漫	天堂之吻
小淵澤報瀨	17	ㄒㄧㄠˇ ㄩㄢ ㄗㄜˊ ㄅㄠˋ ㄌㄞˋ	動漫	比宇宙更遠的地方
小湊亞耶	11	ㄒㄧㄠˇ ㄘㄡˋ ㄧㄚˇ ㄧㄝ	動漫	青春之旅
小湊春市	13	ㄒㄧㄠˇ ㄘㄡˋ ㄔㄨㄣ ㄕˋ	動漫	鑽石王牌
小玲	13	ㄒㄧㄠˇ ㄌㄧㄥˊ	動漫	神隱少女
小珊	15	ㄒㄧㄠˇ ㄕㄢ	動漫	荒川爆笑團
小磯健二	20	ㄒㄧㄠˇ ㄐㄧ ㄐㄧㄢˋ ㄦˋ	動漫	夏日大作戰
小舟潮	19	ㄒㄧㄠˇ ㄓㄡ ㄔㄠˊ	動漫	夏日重現
小舟澪	17	ㄒㄧㄠˇ ㄓㄡ ㄌㄧㄥˊ	動漫	夏日重現
小花	38	ㄒㄧㄠˇ ㄏㄨㄚ	動漫	小魔女DoReMi
小蘭	11	ㄒㄧㄠˇ ㄌㄢˊ	動漫	藥師少女的獨語
小豪	15	ㄒㄧㄠˇ ㄏㄠˊ	動漫	寶可夢
小路綾	13	ㄒㄧㄠˇ ㄌㄨˋ ㄌㄧㄥˊ	動漫	黃金拼圖
小酒窩	13	ㄒㄧㄠˇ ㄐㄧㄡˇ ㄨㄛ	動漫	路人超能100
小野田坂道	18	ㄒㄧㄠˇ ㄧㄝˇ ㄊㄧㄢˊ ㄅㄢˇ ㄉㄠˋ	動漫	飆速宅男
小野白菊	11	ㄒㄧㄠˇ ㄧㄝˇ ㄅㄞˊ ㄐㄩˊ	動漫	女神咖啡廳
小閻王	11	ㄒㄧㄠˇ ㄧㄢˊ ㄨㄤˊ	動漫	幽遊白書
小霞	19	ㄒㄧㄠˇ ㄒㄧㄚˊ	動漫	寶可夢
小鞠知花	13	ㄒㄧㄠˇ ㄐㄩˊ ㄓ ㄏㄨㄚ	動漫	敗北女角太多了
小魔女	23	ㄒㄧㄠˇ ㄇㄛˊ ㄋㄩˇ	動漫	小魔女DoReMi
小魔女學園	21	ㄒㄧㄠˇ ㄇㄛˊ ㄋㄩˇ ㄒㄩㄝˊ ㄩㄢˊ	動漫	小魔女學園
小鳥遊六花	17	ㄒㄧㄠˇ ㄋㄧㄠˇ ㄧㄡˊ ㄌㄧㄡˋ ㄏㄨㄚ	動漫	中二病也想談戀愛
少女	30	ㄕㄠˋ ㄋㄩˇ	動漫	少女終末旅行
少女歌劇	20	ㄕㄠˋ ㄋㄩˇ ㄍㄜ ㄐㄩˋ	動漫	少女歌劇Revue Starlight
少女漫畫家	13	ㄕㄠˋ ㄋㄩˇ ㄇㄢˋ ㄏㄨㄚˋ ㄐㄧㄚ	動漫	月刊少女野崎同學
少年	26	ㄕㄠˋ ㄋㄧㄢˊ	動漫	青春豬頭少年不會夢到兔女郎學姊
少年之	24	ㄕㄠˋ ㄋㄧㄢˊ ㄓ	動漫	金田一少年之事件簿
尚文	10	ㄕㄤˋ ㄨㄣˊ	動漫	異世界四重奏
尤吉歐	14	ㄧㄡˊ ㄐㄧˊ ㄡ	動漫	刀劍神域
尤拉	15	ㄧㄡˊ ㄌㄚ	動漫	機動戰士鋼彈SEED
尤比緹利亞	15	ㄧㄡˊ ㄅㄧˇ ㄊㄧˊ ㄌㄧˋ ㄧㄚˇ	動漫	Re:CREATORS
尤莉	15	ㄧㄡˊ ㄌㄧˋ	動漫	少女終末旅行
尤莉亞	18	ㄧㄡˊ ㄌㄧˋ ㄧㄚˇ	動漫	北斗神拳
尤菲莉亞	15	ㄧㄡˊ ㄈㄟ ㄌㄧˋ ㄧㄚˇ	動漫	轉生王女與天才千金的魔法革命
尤諾	18	ㄧㄡˊ ㄋㄨㄛˋ	動漫	黑色五葉草
尤里	24	ㄧㄡˊ ㄌㄧˇ	動漫	冰上的尤里
就是	17	ㄐㄧㄡˋ ㄕˋ	動漫	輝夜姬想讓人告白
尼亞	14	ㄋㄧˊ ㄧㄚˇ	動漫	死亡筆記本
尼基福羅夫	17	ㄋㄧˊ ㄐㄧ ㄈㄨˊ ㄌㄨㄛˊ ㄈㄨ	動漫	冰上的尤里
尼斯	15	ㄋㄧˊ ㄙ	動漫	神之塔
尼爾瓦修	10	ㄋㄧˊ ㄦˇ ㄨㄚˇ ㄒㄧㄡ	動漫	交響詩篇
尼特羅	11	ㄋㄧˊ ㄊㄜˋ ㄌㄨㄛˊ	動漫	獵人
尼祿瓦內提	15	ㄋㄧˊ ㄌㄨˋ ㄨㄚˇ ㄋㄟˋ ㄊㄧˊ	動漫	91Days
尾崎敏夫	15	ㄨㄟˇ ㄑㄧˊ ㄇㄧㄣˇ ㄈㄨ	動漫	屍鬼
尾形百之助	11	ㄨㄟˇ ㄒㄧㄥˊ ㄅㄞˇ ㄓ ㄓㄨˋ	動漫	黃金神威
屍神殿	15	ㄕ ㄕㄣˊ ㄉㄧㄢˋ	動漫	屍體如山的死亡遊戲
屍體如山	19	ㄕ ㄊㄧˇ ㄖㄨˊ ㄕㄢ	動漫	屍體如山的死亡遊戲
屍鬼	20	ㄕ ㄍㄨㄟˇ	動漫	屍鬼
屏風浦帆稀	11	ㄆㄧㄥˊ ㄈㄥ ㄆㄨˇ ㄈㄢˊ ㄒㄧ	動漫	桃源暗鬼
山下一夫	15	ㄕㄢ ㄒㄧㄚˋ ㄧ ㄈㄨ	動漫	拳願阿修羅
山中曆	12	ㄕㄢ ㄓㄨㄥ ㄌㄧˋ	動漫	SSSS.DYNAZENON
山井戀	14	ㄕㄢ ㄐㄧㄥˇ ㄌㄧㄢˋ	動漫	古見同學是溝通魯蛇
山口賢二	11	ㄕㄢ ㄎㄡˇ ㄒㄧㄢˊ ㄦˋ	動漫	鄰座的怪同學
山吹沙綾	13	ㄕㄢ ㄔㄨㄟ ㄕㄚ ㄌㄧㄥˊ	動漫	BanG Dream!
山本武	13	ㄕㄢ ㄅㄣˇ ㄨˇ	動漫	家庭教師HITMAN REBORN!
山田	20	ㄕㄢ ㄊㄧㄢˊ	動漫	地獄樂
山田亞由美	12	ㄕㄢ ㄊㄧㄢˊ ㄧㄚˇ ㄧㄡˊ ㄇㄟˇ	動漫	蜂蜜幸運草
山田太郎	11	ㄕㄢ ㄊㄧㄢˊ ㄊㄞˋ ㄌㄤˊ	動漫	失憶投捕
山田妖精	14	ㄕㄢ ㄊㄧㄢˊ ㄧㄠ ㄐㄧㄥ	動漫	情色漫畫老師
山田杏奈	17	ㄕㄢ ㄊㄧㄢˊ ㄒㄧㄥˋ ㄋㄞˋ	動漫	我內心的糟糕念頭
山田涼	17	ㄕㄢ ㄊㄧㄢˊ ㄌㄧㄤˊ	動漫	孤獨搖滾
山童	12	ㄕㄢ ㄊㄨㄥˊ	動漫	地獄少女
岡崎朋也	22	ㄍㄤ ㄑㄧˊ ㄆㄥˊ ㄧㄝˇ	動漫	CLANNAD
岩倉美津未	19	ㄧㄢˊ ㄘㄤ ㄇㄟˇ ㄐㄧㄣ ㄨㄟˋ	動漫	躍動青春
岩戶環	15	ㄧㄢˊ ㄏㄨˋ ㄏㄨㄢˊ	動漫	鈴芽之旅
岩戶鈴芽	23	ㄧㄢˊ ㄏㄨˋ ㄌㄧㄥˊ ㄧㄚˊ	動漫	鈴芽之旅
岩永琴子	19	ㄧㄢˊ ㄩㄥˇ ㄑㄧㄣˊ ㄗ˙	動漫	虛構推理
岩谷尚文	19	ㄧㄢˊ ㄍㄨˇ ㄕㄤˋ ㄨㄣˊ	動漫	盾之勇者成名錄
峰龍太郎	16	ㄈㄥ ㄌㄨㄥˊ ㄊㄞˋ ㄌㄤˊ	動漫	交響情人夢
島村卯月	18	ㄉㄠˇ ㄘㄨㄣ ㄇㄠˇ ㄩㄝˋ	動漫	偶像大師灰姑娘女孩
島田美波	15	ㄉㄠˇ ㄊㄧㄢˊ ㄇㄟˇ ㄅㄛ	動漫	笨蛋，測驗，召喚獸
崎宮美咲	13	ㄑㄧˊ ㄍㄨㄥ ㄇㄟˇ ㄒㄧㄠˋ	動漫	屍體如山的死亡遊戲
崖上的波妞	24	ㄧㄞˊ ㄕㄤˋ ㄉㄜ˙ ㄅㄛ ㄋㄧㄡ	動漫	崖上的波妞
嵐山悟郎	11	ㄌㄢˊ ㄕㄢ ㄨˋ ㄌㄤˊ	動漫	侵略！花枝娘
川嶋亞美	15	ㄔㄨㄢ ㄉㄠˇ ㄧㄚˇ ㄇㄟˇ	動漫	龍與虎
川本日向	15	ㄔㄨㄢ ㄅㄣˇ ㄖˋ ㄒㄧㄤˋ	動漫	3月的獅子
川本明里	17	ㄔㄨㄢ ㄅㄣˇ ㄇㄧㄥˊ ㄌㄧˇ	動漫	3月的獅子
川本桃	13	ㄔㄨㄢ ㄅㄣˇ ㄊㄠˊ	動漫	3月的獅子
川澄舞	10	ㄔㄨㄢ ㄔㄥˊ ㄨˇ	動漫	Kanon
工作	20	ㄍㄨㄥ ㄗㄨㄛˋ	動漫	龍王的工作！
工作細胞	24	ㄍㄨㄥ ㄗㄨㄛˋ ㄒㄧˋ ㄅㄠ	動漫	工作細胞
工藤新一	22	ㄍㄨㄥ ㄊㄥˊ ㄒㄧㄣ ㄧ	動漫	名偵探柯南
左王子蘭子	12	ㄗㄨㄛˇ ㄨㄤˊ ㄗˇ ㄌㄢˊ ㄗ˙	動漫	散華禮彌
巨噬細胞	10	ㄐㄩˋ ㄕˋ ㄒㄧˋ ㄅㄠ	動漫	工作細胞
巴布	9	ㄅㄚ ㄅㄨˋ	動漫	散華禮彌
巴德尼	13	ㄅㄚ ㄉㄜˊ ㄋㄧˊ	動漫	地。－關於地球的運動－
巴特	18	ㄅㄚ ㄊㄜˋ	動漫	攻殼機動隊
巴納吉	18	ㄅㄚ ㄋㄚˋ ㄐㄧˊ	動漫	機動戰士鋼彈UC
巴衛	17	ㄅㄚ ㄨㄟˋ	動漫	元氣少女緣結神
巴魯	23	ㄅㄚ ㄌㄨˇ	動漫	天空之城
巴麻美	18	ㄅㄚ ㄇㄚˊ ㄇㄟˇ	動漫	魔法少女小圓
巽幸太郎	9	ㄒㄩㄣˋ ㄒㄧㄥˋ ㄊㄞˋ ㄌㄤˊ	動漫	佐賀偶像是傳奇
市之宮行	18	ㄕˋ ㄓ ㄍㄨㄥ ㄒㄧㄥˊ	動漫	荒川爆笑團
市川京太郎	20	ㄕˋ ㄔㄨㄢ ㄐㄧㄥ ㄊㄞˋ ㄌㄤˊ	動漫	我內心的糟糕念頭
市川雷諾	16	ㄕˋ ㄔㄨㄢ ㄌㄟˊ ㄋㄨㄛˋ	動漫	怪獸8號
市谷有咲	12	ㄕˋ ㄍㄨˇ ㄧㄡˇ ㄒㄧㄠˋ	動漫	BanG Dream!
布倫希爾德	20	ㄅㄨˋ ㄌㄨㄣˊ ㄒㄧ ㄦˇ ㄉㄜˊ	動漫	終末的女武神
布拉德弗倫	17	ㄅㄨˋ ㄌㄚ ㄉㄜˊ ㄈㄨˊ ㄌㄨㄣˊ	動漫	OVERLORD
布朗	21	ㄅㄨˋ ㄌㄤˇ	動漫	零之使魔
布朗德	13	ㄅㄨˋ ㄌㄤˇ ㄉㄜˊ	動漫	PLUTO冥王
布洛瓦	16	ㄅㄨˋ ㄌㄨㄛˋ ㄨㄚˇ	動漫	GOSICK
布瑪	13	ㄅㄨˋ ㄇㄚˇ	動漫	七龍珠
布甘比利亞	20	ㄅㄨˋ ㄍㄢ ㄅㄧˇ ㄌㄧˋ ㄧㄚˇ	動漫	紫羅蘭永恆花園
布盧	14	ㄅㄨˋ ㄌㄨˊ	動漫	紫羅蘭永恆花園
布萊克貝爾	12	ㄅㄨˋ ㄌㄞˊ ㄎㄜˋ ㄅㄟˋ ㄦˇ	動漫	SPY×FAMILY間諜家家酒
布蘭卡	12	ㄅㄨˋ ㄌㄢˊ ㄎㄚˇ	動漫	BANANA FISH
布里德加賀	13	ㄅㄨˋ ㄌㄧˇ ㄉㄜˊ ㄐㄧㄚ ㄏㄜˋ	動漫	閃電霹靂車
布雷克	12	ㄅㄨˋ ㄌㄟˊ ㄎㄜˋ	動漫	潘朵拉之心
布魯克	9	ㄅㄨˋ ㄌㄨˇ ㄎㄜˋ	動漫	航海王
布魯諾	19	ㄅㄨˋ ㄌㄨˇ ㄋㄨㄛˋ	動漫	異世界藥局
希倫克	15	ㄒㄧ ㄌㄨㄣˊ ㄎㄜˋ	動漫	MONSTER
希洛唯	18	ㄒㄧ ㄌㄨㄛˋ ㄨㄟˊ	動漫	新機動戰記鋼彈W
希爾法	16	ㄒㄧ ㄦˇ ㄈㄚˇ	動漫	黑色五葉草
希達	20	ㄒㄧ ㄉㄚˊ	動漫	天空之城
希雅郝里亞	14	ㄒㄧ ㄧㄚˇ ㄏㄠˇ ㄌㄧˇ ㄧㄚˇ	動漫	平凡職業造就世界最強
希露菲葉特	17	ㄒㄧ ㄌㄨˋ ㄈㄟ ㄧㄝˋ ㄊㄜˋ	動漫	無職轉生
帕瓦	20	ㄆㄚˋ ㄨㄚˇ	動漫	鏈鋸人
常守朱	22	ㄔㄤˊ ㄕㄡˇ ㄓㄨ	動漫	PSYCHO-PASS心靈判官
常盤惠次	13	ㄔㄤˊ ㄆㄢˊ ㄏㄨㄟˋ ㄘˋ	動漫	銀之匙
常盤綠	14	ㄔㄤˊ ㄆㄢˊ ㄌㄩˋ	動漫	玉子市場
常陸院光	14	ㄔㄤˊ ㄌㄨˋ ㄩㄢˋ ㄍㄨㄤ	動漫	櫻蘭高校男公關部
常陸院馨	12	ㄔㄤˊ ㄌㄨˋ ㄩㄢˋ ㄒㄧㄣ	動漫	櫻蘭高校男公關部
幕之內一步	18	ㄇㄨˋ ㄓ ㄋㄟˋ ㄧ ㄅㄨˋ	動漫	第一神拳
幕澤櫻花	9	ㄇㄨˋ ㄗㄜˊ ㄧㄥ ㄏㄨㄚ	動漫	女神咖啡廳
平凡職業	21	ㄆㄧㄥˊ ㄈㄢˊ ㄓˊ ㄧㄝˋ	動漫	平凡職業造就世界最強
平和島靜雄	12	ㄆㄧㄥˊ ㄏㄜˊ ㄉㄠˇ ㄐㄧㄥˋ ㄒㄩㄥˊ	動漫	無頭騎士異聞錄DuRaRaRa!!
平澤唯	22	ㄆㄧㄥˊ ㄗㄜˊ ㄨㄟˊ	動漫	K-ON!輕音部
平賀才人	17	ㄆㄧㄥˊ ㄏㄜˋ ㄘㄞˊ ㄖㄣˊ	動漫	零之使魔
幸平創真	21	ㄒㄧㄥˋ ㄆㄧㄥˊ ㄔㄨㄤˋ ㄓㄣ	動漫	食戟之靈
幸村祥一郎	11	ㄒㄧㄥˋ ㄘㄨㄣ ㄒㄧㄤˊ ㄧ ㄌㄤˊ	動漫	會長是女僕大人
幸村精市	11	ㄒㄧㄥˋ ㄘㄨㄣ ㄐㄧㄥ ㄕˋ	動漫	網球王子
幸福婚約	21	ㄒㄧㄥˋ ㄈㄨˊ ㄏㄨㄣ ㄩㄝ	動漫	我的幸福婚約
幸運☆星	22	ㄒㄧㄥˋ ㄩㄣˋ ☆ ㄒㄧㄥ	動漫	幸運☆星
幸運星	13	ㄒㄧㄥˋ ㄩㄣˋ ㄒㄧㄥ	動漫	幸運☆星
幻之第六人	13	ㄏㄨㄢˋ ㄓ ㄉㄧˋ ㄌㄧㄡˋ ㄖㄣˊ	動漫	黑子的籃球
幻想殺手	13	ㄏㄨㄢˋ ㄒㄧㄤˇ ㄕㄚ ㄕㄡˇ	動漫	魔法禁書目錄
幻書	11	ㄏㄨㄢˋ ㄕㄨ	動漫	丹特麗安的書架
幻燈	18	ㄏㄨㄢˋ ㄉㄥ	動漫	黑暗集會
幼女戰記	21	ㄧㄡˋ ㄋㄩˇ ㄓㄢˋ ㄐㄧˋ	動漫	幼女戰記
幽遊白書	8	ㄧㄡ ㄧㄡˊ ㄅㄞˊ ㄕㄨ	動漫	幽遊白書
店主	28	ㄉㄧㄢˋ ㄓㄨˇ	動漫	異世界食堂
座敷童子	15	ㄗㄨㄛˋ ㄈㄨ ㄊㄨㄥˊ ㄗˇ	動漫	鬼燈的冷徹
庫克米拉	12	ㄎㄨˋ ㄎㄜˋ ㄇㄧˇ ㄌㄚ	動漫	86－不存在的戰區－
庫拉魯斯	12	ㄎㄨˋ ㄌㄚ ㄌㄨˇ ㄙ	動漫	平凡職業造就世界最強
庫洛洛	12	ㄎㄨˋ ㄌㄨㄛˋ ㄌㄨㄛˋ	動漫	獵人
庫洛魔法使	24	ㄎㄨˋ ㄌㄨㄛˋ ㄇㄛˊ ㄈㄚˇ ㄕˇ	動漫	庫洛魔法使
庫魯斯	11	ㄎㄨˋ ㄌㄨˇ ㄙ	動漫	機動戰士鋼彈UC
庸子	16	ㄩㄥ ㄗ˙	動漫	天元突破紅蓮螺巖
弓原紗季	14	ㄍㄨㄥ ㄩㄢˊ ㄕㄚ ㄐㄧˋ	動漫	虛構推理
弗利沙	12	ㄈㄨˊ ㄌㄧˋ ㄕㄚ	動漫	七龍珠
弗爾伏朗托	12	ㄈㄨˊ ㄦˇ ㄈㄨˊ ㄌㄤˇ ㄊㄨㄛ	動漫	機動戰士鋼彈UC
弧次郎	12	ㄏㄨˊ ㄘˋ ㄌㄤˊ	動漫	擅長逃跑的殿下
張五飛	11	ㄓㄤ ㄨˇ ㄈㄟ	動漫	新機動戰記鋼彈W
強風吹拂	20	ㄑㄧㄤˊ ㄈㄥ ㄔㄨㄟ ㄈㄨˊ	動漫	強風吹拂
彌勒	12	ㄇㄧˊ ㄌㄜˋ	動漫	犬夜叉
彌海砂	18	ㄇㄧˊ ㄏㄞˇ ㄕㄚ	動漫	死亡筆記本
形真理	12	ㄒㄧㄥˊ ㄓㄣ ㄌㄧˇ	動漫	怪化貓
彩川恒雄	14	ㄘㄞˇ ㄔㄨㄢ ㄏㄥˊ ㄒㄩㄥˊ	動漫	ONE OUTS超智遊戲
彭德佛傑	16	ㄆㄥˊ ㄉㄜˊ ㄈㄛˊ ㄐㄧㄝˊ	動漫	SPY×FAMILY間諜家家酒
影子	170	ㄧㄥˇ ㄗ˙	動漫	夏日重現
影山律	17	ㄧㄥˇ ㄕㄢ ㄌㄩˋ	動漫	路人超能100
影山茂夫	22	ㄧㄥˇ ㄕㄢ ㄇㄠˋ ㄈㄨ	動漫	路人超能100
影山飛雄	21	ㄧㄥˇ ㄕㄢ ㄈㄟ ㄒㄩㄥˊ	動漫	排球少年
彼得	80	ㄅㄧˇ ㄉㄜˊ	動漫	狼的孩子雨和雪
後藤	12	ㄏㄡˋ ㄊㄥˊ	動漫	寄生獸
後藤一里	23	ㄏㄡˋ ㄊㄥˊ ㄧ ㄌㄧˇ	動漫	孤獨搖滾
徒然喜歡你	19	ㄊㄨˊ ㄖㄢˊ ㄒㄧˇ ㄏㄨㄢ ㄋㄧˇ	動漫	徒然喜歡你
御坂美琴	22	ㄩˋ ㄅㄢˇ ㄇㄟˇ ㄑㄧㄣˊ	動漫	魔法禁書目錄
御子柴實琴	16	ㄩˋ ㄗ˙ ㄔㄞˊ ㄕˊ ㄑㄧㄣˊ	動漫	月刊少女野崎同學
御幸一也	14	ㄩˋ ㄒㄧㄥˋ ㄧ ㄧㄝˇ	動漫	鑽石王牌
御影玲王	15	ㄩˋ ㄧㄥˇ ㄌㄧㄥˊ ㄨㄤˊ	動漫	藍色監獄
御影秋	17	ㄩˋ ㄧㄥˇ ㄑㄧㄡ	動漫	銀之匙
復仇	54	ㄈㄨˋ ㄔㄡˊ	動漫	91Days
德古沙	16	ㄉㄜˊ ㄍㄨˇ ㄕㄚ	動漫	攻殼機動隊
德布洛瓦	17	ㄉㄜˊ ㄅㄨˋ ㄌㄨㄛˋ ㄨㄚˇ	動漫	GOSICK
德拉	14	ㄉㄜˊ ㄌㄚ	動漫	玉子市場
德斯蒙	14	ㄉㄜˊ ㄙ ㄇㄥˊ	動漫	SPY×FAMILY間諜家家酒
心中	20	ㄒㄧㄣ ㄓㄨㄥ	動漫	昭和元祿落語心中
心就是你	12	ㄒㄧㄣ ㄐㄧㄡˋ ㄕˋ ㄋㄧˇ	動漫	小魔女學園
心愛智乃	12	ㄒㄧㄣ ㄞˋ ㄓˋ ㄋㄞˇ	動漫	請問您今天要來點兔子嗎？
忍野忍	11	ㄖㄣˇ ㄧㄝˇ ㄖㄣˇ	動漫	物語系列
志喜屋夢子	12	ㄓˋ ㄒㄧˇ ㄨ ㄇㄥˋ ㄗ˙	動漫	敗北女角太多了
志志雄真實	11	ㄓˋ ㄓˋ ㄒㄩㄥˊ ㄓㄣ ㄕˊ	動漫	神劍闖江湖
志摩凜	19	ㄓˋ ㄇㄛˊ ㄌㄧㄣˇ	動漫	搖曳露營
志摩聰介	16	ㄓˋ ㄇㄛˊ ㄘㄨㄥ ㄐㄧㄝˋ	動漫	躍動青春
志村新八	21	ㄓˋ ㄘㄨㄣ ㄒㄧㄣ ㄅㄚ	動漫	銀魂
忠邦	20	ㄓㄨㄥ ㄅㄤ	動漫	男子高中生的日常
念能力	15	ㄋㄧㄢˋ ㄋㄥˊ ㄌㄧˋ	動漫	獵人
怎樣	20	ㄗㄜˇ ㄧㄤˋ	動漫	轉生成蜘蛛又怎樣
怪化貓	20	ㄍㄨㄞˋ ㄏㄨㄚˋ ㄇㄠ	動漫	怪化貓
怪同學	20	ㄍㄨㄞˋ ㄊㄨㄥˊ ㄒㄩㄝˊ	動漫	鄰座的怪同學
怪物	72	ㄍㄨㄞˋ ㄨˋ	動漫	MONSTER
怪獸8號	23	ㄍㄨㄞˋ ㄕㄡˋ 8 ㄏㄠˋ	動漫	怪獸8號
怪盜X	10	ㄍㄨㄞˋ ㄉㄠˋ X	動漫	魔人偵探腦嚙涅羅
怪盜基德	12	ㄍㄨㄞˋ ㄉㄠˋ ㄐㄧ ㄉㄜˊ	動漫	名偵探柯南
恐山安娜	15	ㄎㄨㄥˇ ㄕㄢ ㄢ ㄋㄚˋ	動漫	通靈王
恩滋華斯	17	ㄣ ㄗ ㄏㄨㄚˊ ㄙ	動漫	魔法使的新娘
悠悠哉哉	21	ㄧㄡ ㄧㄡ ㄗㄞ ㄗㄞ	動漫	悠悠哉哉少女日和
